Date;Mkt-RF;SMB;HML;RF;Mkt_EW;Mkt_EW-rf;MOM;RMW;CMA;SMB5;LT_Rev;ST_Rev
193903;-11,99;-4,76;-8,29;-0,01;-17,28;-17,27;-1,48;;;;-7,29;4,93
193904;-0,18;1,66;-0,3;0;0;0;2,7;;;;1,15;3,4
193905;6,8;2,81;0,47;0,01;8,42;8,41;3,56;;;;-0,12;3,44
193906;-5,31;-1,02;-5,41;0,01;-8,38;-8,39;1,96;;;;-5,01;3,57
193907;10,24;4,32;-0,03;0;13,62;13,62;-0,58;;;;1,5;14,1
193908;-6,68;-4,61;-2,42;-0,01;-10,6;-10,59;5,84;;;;-0,33;7,13
193909;16,88;20,23;22,22;0,01;39,82;39,81;-30,35;;;;13,98;19,82
193910;-0,53;-0,01;-4,89;0;-0,74;-0,74;6,46;;;;-3,84;12,75
193911;-3,62;-5,07;-6,46;0;-8,14;-8,14;-0,22;;;;-3,53;-9,06
193912;3,03;0,79;-4,06;0;1,68;1,68;5,4;;;;-1,6;-0,88
194001;-2,41;0,24;-0,77;0;-1,88;-1,88;1,74;;;;3,69;3,13
194002;1,44;2,51;-0,32;0;2,99;2,99;1,81;;;;-1,2;2,74
194003;2,05;1,25;-1,27;0;2,75;2,75;-0,36;;;;-1,23;2,01
194004;0,22;3,92;-0,13;0;1,26;1,26;3,33;;;;1,26;1,98
194005;-21,95;-6,66;-3,69;-0,02;-26,87;-26,85;2,86;;;;-3,04;-0,69
194006;6,67;-2,13;4,63;0;6,71;6,71;-2,14;;;;1,66;5,48
194007;3,16;1,01;-0,74;0,01;3,75;3,74;0,85;;;;-1,36;2,5
194008;2,19;-0,11;0,56;-0,01;2,21;2,22;-1,61;;;;-1,82;1,33
194009;2,39;3,22;-1,13;0;3,84;3,84;-0,26;;;;-1,63;-0,49
194010;3,02;0,28;4,64;0;4,89;4,89;-6,53;;;;0,87;0,33
194011;-1,61;1,94;0,12;0;-0,28;-0,28;1,33;;;;-5,09;1,04
194012;0,69;-2,15;-0,89;0;-1,77;-1,77;3,46;;;;-2,9;2,19
194101;-4,17;1;3,83;-0,01;-0,57;-0,56;-4,72;;;;2,85;3,96
194102;-1,43;-1,57;0,89;-0,01;-1,99;-1,98;0,91;;;;-1,45;0,47
194103;0,84;0,1;3,04;0,01;1,33;1,32;2,43;;;;0,57;1,83
194104;-5,46;-1,69;3,41;-0,01;-5,78;-5,77;3,03;;;;-0,74;-1,97
194105;1,39;-0,66;0,6;0;1,03;1,03;2,46;;;;-0,26;1,03
194106;5,83;1,32;0,59;0;6,69;6,69;-0,64;;;;-1,05;1,16
194107;5,87;5,7;7,25;0,03;12,98;12,95;-1,75;;;;8,62;1,46
194108;-0,17;-0,41;-1,1;0,01;-0,68;-0,69;0,17;;;;-1,64;0,72
194109;-0,87;-0,99;-0,28;0,01;-2,06;-2,07;-1,57;;;;-3,69;-0,42
194110;-5,25;-2,02;1,63;0;-6,23;-6,23;4,74;;;;-3,36;-2,09
194111;-1,92;-1,21;-0,64;0;-3,44;-3,44;4,04;;;;-1,89;-1,89
194112;-4,87;-2,98;-5,94;0,01;-8,28;-8,29;0,28;;;;-5,66;-1,86
194201;0,79;7,52;10,1;0,02;13,54;13,52;-3,58;;;;14,46;9,42
194202;-2,46;1,72;-1,13;0,01;-1,43;-1,44;-0,71;;;;1,25;0,93
194203;-6,58;1,78;-0,62;0,01;-5,16;-5,17;-0,21;;;;-0,04;-1,97
194204;-4,37;-0,6;2,09;0,01;-4,6;-4,61;-0,79;;;;-0,04;0,67
194205;5,94;-3,05;-2,65;0,03;2,88;2,85;-4,71;;;;-3,58;-0,33
194206;2,69;-1,22;0,54;0,02;2,47;2,45;-1,32;;;;-0,22;0,58
194207;3,51;-0,16;2,4;0,03;4,58;4,55;0,77;;;;3,33;2,26
194208;1,8;-0,09;1,33;0,03;2,87;2,84;-0,13;;;;0,04;0,19
194209;2,61;0,66;2,39;0,03;4,81;4,78;-0,64;;;;3,14;1,23
194210;6,82;1,82;6,47;0,03;10,02;9,99;-4,01;;;;8,82;-1,41
194211;0,15;-1,54;-4,24;0,03;-1,63;-1,66;-0,97;;;;-3,22;6,47
194212;5,12;-2,49;0,56;0,03;3,49;3,46;3,06;;;;1,65;2
194301;7,13;8,78;8,23;0,03;16,94;16,91;-0,36;;;;12,24;5,75
194302;6,15;4,84;6,51;0,03;13,3;13,27;-1,46;;;;9,58;-5,52
194303;6,01;5,03;5,48;0,03;11,14;11,11;4,74;;;;4,92;-2,06
194304;0,81;2,06;5,86;0,03;3,54;3,51;6,18;;;;4,61;1,17
194305;5,74;4,41;3,28;0,03;8,38;8,35;5,61;;;;5,58;-0,44
194306;1,82;-1,06;-0,74;0,03;1,18;1,15;-1,3;;;;-1,2;2,12
194307;-4,77;-2,41;-2,27;0,03;-6,49;-6,52;-4,59;;;;-2,21;0,08
194308;1,3;-0,62;-0,47;0,03;0,33;0,3;0,71;;;;-0,64;2,42
194309;2,4;1,28;1,43;0,03;3,53;3,5;1,78;;;;3,01;0,52
194310;-1,15;0,58;1,65;0,03;-0,34;-0,37;-0,53;;;;-1,71;3,12
194311;-5,91;-1,64;-4,04;0,03;-8,95;-8,98;-4,72;;;;-4,23;-0,51
194312;6,36;3,34;3,22;0,03;9,8;9,77;5,99;;;;3,3;8,77
194401;1,74;2,56;2,17;0,03;4,55;4,52;0,97;;;;2,46;1,1
194402;0,37;-0,1;0,83;0,03;1,46;1,43;0,34;;;;-0,43;0,27
194403;2,46;1,71;3,43;0,02;4,13;4,11;2,61;;;;1,43;-0,19
194404;-1,69;-1,35;-1,13;0,03;-2,96;-2,99;0,52;;;;-0,55;1,96
194405;5,07;1,67;1,02;0,03;6,6;6,57;2,07;;;;-0,26;2,51
194406;5,49;4,04;1,82;0,03;10,45;10,42;-5,22;;;;0,46;-1,49
194407;-1,49;0,55;-0,43;0,03;-1,26;-1,29;0,19;;;;1,35;3,18
194408;1,57;2,41;-1,63;0,03;3,07;3,04;4,68;;;;0,67;2,29
194409;0,01;0,47;-1,21;0,02;0,01;-0,01;-1,08;;;;0,16;1,27
194410;0,16;-0,14;-0,34;0,03;0,06;0,03;-1,24;;;;-0,75;0,56
194411;1,71;0,37;2,31;0,03;2,32;2,29;1,28;;;;-2,42;0,9
194412;4,03;2,24;5,91;0,02;6,96;6,94;3,36;;;;-0,33;-1,67
194501;2,01;2,44;0,71;0,03;4,43;4,4;0,04;;;;0,47;3,3
194502;6,23;1,56;4,4;0,02;8,51;8,49;3,03;;;;-0,35;0,96
194503;-3,89;-1,61;-1,78;0,02;-5,63;-5,65;-3,28;;;;0,28;3,74
194504;7,8;0,32;3,21;0,03;8,92;8,89;4,79;;;;-1,86;4,14
194505;1,73;1,51;0,35;0,03;2,93;2,9;0,11;;;;-0,81;2,12
194506;0,39;3,1;4,32;0,02;3,6;3,58;4,11;;;;0,99;0,05
194507;-2,17;-1,46;-2,71;0,03;-3,44;-3,47;-2,62;;;;1,88;3,39
194508;6,2;1,61;-4,4;0,03;6,65;6,62;-1,4;;;;-0,57;1,96
194509;4,77;1,71;0,48;0,03;6,3;6,27;1,4;;;;-1,9;0,19
194510;3,89;2,46;2,25;0,03;6,57;6,54;0,25;;;;-3,73;-1,29
194511;5,39;4,16;4,34;0,02;9,6;9,58;4,25;;;;-3,85;-1,75
194512;1,2;2,12;-2,32;0,03;2,43;2,4;1,23;;;;-1,61;2,35
194601;6,24;4,02;2,21;0,03;9,42;9,39;3,76;;;;1,15;1,91
194602;-5,83;-0,73;-1,27;0,03;-6,53;-6,56;-1,45;;;;2,08;2,9
194603;5,87;0,31;-0,36;0,03;5,92;5,89;2,69;;;;-2,88;-1,15
194604;4,23;2,37;0,45;0,03;5,39;5,36;3,03;;;;-0,7;-4,49
194605;3,93;1,46;1,09;0,03;5,52;5,49;-0,61;;;;-2,12;2,15
194606;-3,89;-1,53;-0,59;0,03;-4,94;-4,97;-2,52;;;;1,49;1,45
194607;-2,69;-2,06;0,04;0,03;-4,15;-4,18;-0,1;;;;1,84;-0,64
194608;-6,44;-1,78;0,6;0,03;-7,49;-7,52;-0,03;;;;2,24;-1,09
194609;-10,17;-4,41;-1,96;0,03;-13,45;-13,48;0,74;;;;5,77;-2,95
194610;-1,44;0,09;3,44;0,03;-1,28;-1,31;0,97;;;;1,34;1,14
194611;-0,01;-0,4;1,52;0,03;-0,33;-0,36;0,2;;;;3,45;-0,08
194612;4,96;0,06;-1,38;0,03;4,81;4,78;-0,1;;;;0,24;-0,07
194701;1,25;2,18;-0,73;0,03;2,99;2,96;-6,44;;;;-0,28;4,58
194702;-1,08;0,68;0,14;0,03;-0,6;-0,63;-0,49;;;;0,53;0,79
194703;-1,67;-1,61;0,61;0,03;-3;-3,03;4,06;;;;3,01;0,34
194704;-4,8;-3,97;0,85;0,03;-8,21;-8,24;5,05;;;;5,18;-2,79
194705;-0,97;-3,26;0,34;0,03;-3,85;-3,88;3,33;;;;3,17;-2,09
194706;5,29;-0,31;-0,6;0,03;5,77;5,74;-1,85;;;;-2,29;0,35
194707;4,14;1,43;2,82;0,03;6,25;6,22;-3,42;;;;-3,75;2,08
194708;-1,74;0,3;0,16;0,03;-1,74;-1,77;3,38;;;;2,38;1,55
194709;-0,54;1,64;1,36;0,06;0,57;0,51;-0,02;;;;-0,3;-0,65
194710;2,47;0,51;0,08;0,06;3,37;3,31;1,34;;;;-0,94;2,24
194711;-1,97;-1,74;1,06;0,06;-3;-3,06;4,23;;;;1,75;-0,03
194712;3;-2,48;3,69;0,08;2,29;2,21;3,6;;;;-0,04;-0,54
194801;-3,93;2,49;1,38;0,07;-1,66;-1,73;-4,29;;;;1,19;4,01
194802;-4,38;-1,71;0,07;0,07;-5,97;-6,04;1,47;;;;2,57;0,71
194803;8,07;0,13;4,49;0,09;9,62;9,53;-0,19;;;;-1,53;6,02
194804;3,65;-1,66;4,1;0,08;3,81;3,73;4,06;;;;0,25;-0,24
194805;7,3;0,93;-1,23;0,08;8,83;8,75;2,38;;;;-0,62;0,99
194806;-0,1;-1,86;2,75;0,09;-1,45;-1,54;3,99;;;;1,41;0,93
194807;-5,09;-0,32;0,07;0,08;-5,29;-5,37;-1,58;;;;1,48;1,41
194808;0,25;-1,1;0,27;0,09;-0,21;-0,3;0,23;;;;-1,05;0,53
194809;-2,97;-1,23;-1,79;0,04;-4,26;-4,3;-1,26;;;;1,22;0,34
194810;5,96;-1,5;0,56;0,04;5,32;5,28;2,79;;;;0,48;2,35
194811;-9,3;-0,62;-4,14;0,04;-10,68;-10,72;0,6;;;;0,85;3,98
194812;3,26;-2,8;-1,94;0,04;1,28;1,24;4,66;;;;0,72;0,11
194901;0,23;1,81;1,17;0,1;1,86;1,76;-2,92;;;;0,82;4,39
194902;-2,93;-1,89;-0,91;0,09;-4,08;-4,17;-0,41;;;;1,06;-1,1
194903;4,04;2,48;1,34;0,1;5,95;5,85;-0,87;;;;-0,26;2,73
194904;-1,87;-0,89;-1,18;0,09;-3,15;-3,24;3,06;;;;0,18;0,6
194905;-2,94;-0,77;-2,42;0,1;-4,28;-4,38;3,04;;;;1,25;-1,74
194906;0,1;-0,88;-1,76;0,1;-0,76;-0,86;-1,28;;;;-0,77;-0,24
194907;5,54;0,57;0,38;0,09;6,24;6,15;-1,54;;;;-0,43;2,62
